model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
ACADIA C1UG                   ,42,64,55,59,69,38,47,20,0,0,0,0,8/15/2023,8/14/2023
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,8/15/2023,8/14/2023
BLAZER C1UC                   ,56,40,29,51,44,42,52,16,0,0,0,0,8/15/2023,8/14/2023
BLAZER EV C234                ,0,0,0,0,0,0,0,0,0,0,0,0,8/15/2023,8/14/2023
BOLT C110                     ,-84,-146,-157,-166,-64,-26,-26,-8,0,0,0,0,8/15/2023,8/14/2023
BOLT EUV C121                 ,-7,14,3,9,10,9,5,2,0,0,0,0,8/15/2023,8/14/2023
CAMARO A1AC CONV              ,0,2,1,0,1,2,0,0,0,0,0,0,8/15/2023,8/14/2023
CAMARO A1BC COUPE             ,-1,2,5,4,-17,2,-1,0,0,0,0,0,8/15/2023,8/14/2023
CANYON 31CG2                  ,0,0,0,2,15,30,19,7,0,0,0,0,8/15/2023,8/14/2023
CANYON 31XGN                  ,84,81,82,49,25,7,3,0,0,0,0,0,8/15/2023,8/14/2023
CELESTIQ L246                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/15/2023,8/14/2023
COLORADO 31CC2                ,0,0,15,46,262,367,386,120,0,0,0,0,8/15/2023,8/14/2023
COLORADO 31XCN                ,517,447,190,61,23,2,2,0,0,0,0,0,8/15/2023,8/14/2023
CORVETTE Y200                 ,2,4,9,5,3,3,3,4,0,0,0,0,8/15/2023,8/14/2023
CT4 A2SL                      ,2,4,1,0,1,0,1,0,0,0,0,0,8/15/2023,8/14/2023
CT5 A2LL                      ,2,2,1,2,3,3,0,0,0,0,0,0,8/15/2023,8/14/2023
ENCLAVE C1YB                  ,25,38,18,8,11,13,23,4,0,0,0,0,8/15/2023,8/14/2023
ENCORE GX 9BUB                ,67,52,74,21,78,35,67,8,0,0,0,0,8/15/2023,8/14/2023
ENCORE G1UB                   ,24,36,24,27,12,6,10,-3,0,0,0,0,8/15/2023,8/14/2023
ENVISION E2UB                 ,585,651,971,1113,688,1016,29,-1,0,0,0,0,8/15/2023,8/14/2023
ENVISTA 9BQB1                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/15/2023,8/14/2023
EQUINOX D2UC                  ,559,486,471,403,300,265,306,139,0,0,0,0,8/15/2023,8/14/2023
EQUINOX EV C223               ,0,0,0,0,0,0,0,0,0,0,0,0,8/15/2023,8/14/2023
ESCALADE ESV T1YLF            ,-8,-5,6,7,10,8,4,0,0,0,0,0,8/15/2023,8/14/2023
ESCALADE T1ULF                ,2,4,10,2,9,8,5,3,0,0,0,0,8/15/2023,8/14/2023
EXPRESS VAN 610               ,880,805,992,510,513,684,900,476,0,0,0,0,8/15/2023,8/14/2023
HUM BEV BT1UG                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/15/2023,8/14/2023
LCF DSL-JP I-700N             ,2,0,0,-1,-1,-1,3,0,0,0,0,0,8/15/2023,8/14/2023
LCF GAS-US I-700N             ,25,39,16,60,49,49,38,3,0,0,0,0,8/15/2023,8/14/2023
LCF 6500XD I-700N             ,5,2,2,9,9,5,4,0,0,0,0,0,8/15/2023,8/14/2023
LYRIQ L233                    ,0,1,0,2,0,0,1,1,0,0,0,0,8/15/2023,8/14/2023
MALIBU E2SC                   ,133,111,120,91,51,39,23,15,0,0,0,0,8/15/2023,8/14/2023
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,0,0,0,0,0,8/15/2023,8/14/2023
SAVANA VAN 610                ,62,49,78,49,115,156,267,128,0,0,0,0,8/15/2023,8/14/2023
SIERRA T1CGF LD CREW          ,497,479,517,444,379,369,321,147,0,0,0,0,8/15/2023,8/14/2023
SIERRA T1CGH HD CREW          ,339,309,341,311,307,342,249,107,0,0,0,0,8/15/2023,8/14/2023
SIERRA T1EGF LD DBL           ,47,64,105,121,102,167,198,48,0,0,0,0,8/15/2023,8/14/2023
SIERRA T1EGH HD DBL           ,24,47,61,52,97,108,119,51,0,0,0,0,8/15/2023,8/14/2023
