ACADIA C1UG                   ~ 000042~ 000064~ 000055~ 000059~ 000068~ 000037~ 000043~ 000064~ 000057~ 000031~ 000042~ 000017~   
AV A110                       ~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~   
BLAZER C1UC                   ~ 000055~ 000040~ 000028~ 000051~ 000044~ 000042~ 000052~ 000041~ 000052~ 000061~ 000043~ 000031~   
BLAZER EV C234                ~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000001~ 000005~ 000004~ 000001~   
BOLT C110                     ~-000084~-000146~-000157~-000166~-000064~-000026~-000027~-000022~-000028~-000038~-000037~-000002~   
BOLT EUV C121                 ~-000007~ 000014~ 000003~ 000009~ 000010~ 000008~ 000005~ 000012~ 000011~ 000035~ 000039~ 000038~   
CAMARO A1AC CONV              ~ 000000~ 000002~ 000001~ 000000~ 000001~ 000002~ 000000~ 000002~ 000004~ 000000~ 000003~ 000001~   
CAMARO A1BC COUPE             ~-000001~ 000002~ 000005~ 000004~-000017~ 000002~-000001~ 000000~ 000005~ 000002~ 000004~ 000003~   
CANYON 31CG2                  ~ 000000~ 000000~ 000000~ 000002~ 000015~ 000030~ 000017~ 000016~ 000007~ 000005~ 000012~ 000007~   
CANYON 31XGN                  ~ 000084~ 000081~ 000082~ 000049~ 000025~ 000007~ 000003~ 000001~ 000001~ 000002~ 000000~ 000000~   
CELESTIQ L246                 ~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~   
COLORADO 31CC2                ~ 000000~ 000000~ 000015~ 000046~ 000261~ 000367~ 000381~ 000330~ 000334~ 000203~ 000213~ 000095~   
COLORADO 31XCN                ~ 000516~ 000447~ 000189~ 000061~ 000023~ 000001~ 000002~ 000002~-000001~ 000000~ 000002~ 000001~   
CORVETTE Y200                 ~ 000002~ 000004~ 000009~ 000005~ 000003~ 000003~ 000003~ 000007~ 000002~ 000006~ 000006~-000001~   
CT4 A2SL                      ~ 000002~ 000004~ 000001~ 000000~ 000001~ 000000~ 000001~ 000000~ 000001~ 000000~ 000001~ 000000~   
CT5 A2LL                      ~ 000002~ 000002~ 000001~ 000002~ 000003~ 000003~ 000000~ 000000~ 000002~ 000002~ 000010~ 000000~   
ENCLAVE C1YB                  ~ 000025~ 000038~ 000018~ 000008~ 000011~ 000013~ 000023~ 000016~ 000015~ 000012~ 000016~ 000004~   
ENCORE GX 9BUB                ~ 000067~ 000052~ 000074~ 000021~ 000065~ 000035~ 000067~ 000025~ 000033~ 000021~ 000040~ 000004~   
ENCORE G1UB                   ~ 000024~ 000036~ 000024~ 000027~ 000011~ 000006~ 000010~ 000003~ 000003~ 000001~ 000002~ 000000~   
ENVISION E2UB                 ~ 000584~ 000651~ 000971~ 001113~ 000688~ 000991~ 000029~ 000002~-000009~ 000010~ 000010~-000009~   
ENVISTA 9BQB1                 ~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000000~ 000006~ 000001~ 000006~ 000000~   
