"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP_RNV"|"DSC_OPR_REG"|QTY_LIC_DAY
"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Interior paulista b"|441
"BRAZIL"|"2023-10-31"|"10"|"LIGHT COMMERCIAL"|"Santa catarina"|121
"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Interior paulista b"|465
"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Espirito santo"|52
"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|150
"BRAZIL"|"2023-12-06"|"12"|"TRUCKS"|"Espirito santo"|27
"BRAZIL"|"2023-12-06"|"12"|"TRUCKS"|"Belem"|38
"BRAZIL"|"2023-12-06"|"12"|"TRUCKS"|"Interior paulista a"|44
"BRAZIL"|"2023-12-06"|"12"|"TRUCKS"|"Fortaleza"|8
"BRAZIL"|"2023-12-06"|"12"|"BUS"|"Interior mg"|9
"BRAZIL"|"2023-12-07"|"12"|"LIGHT COMMERCIAL"|"Brasilia"|49
"BRAZIL"|"2023-12-07"|"12"|"BUS"|"Interior paulista b"|12
"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Porto alegre"|632
"BRAZIL"|"2023-11-10"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|148
"BRAZIL"|"2023-11-03"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|11
"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Sao paulo"|1692
"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Centro oeste"|686
"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Fortaleza"|167
"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|264
"BRAZIL"|"2023-11-23"|"11"|"LIGHT COMMERCIAL"|"Recife"|190
"BRAZIL"|"2023-11-17"|"11"|"LIGHT COMMERCIAL"|"Rio de janeiro"|77
"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Interior paulista a"|695
"BRAZIL"|"2023-11-21"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|153
"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Recife"|720
"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Porto alegre"|339
"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Centro oeste"|411
"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Sao paulo"|1226
"BRAZIL"|"2023-11-28"|"11"|"LIGHT COMMERCIAL"|"Parana"|203
"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Recife"|552
"BRAZIL"|"2023-11-13"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|131
"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Fortaleza"|251
"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Belo horizonte"|1455
"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Parana"|424
"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Rio de janeiro"|79
"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Interior mg"|428
"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Recife"|564
"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Recife"|787
"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Parana"|324
"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Recife"|624
"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|152
"BRAZIL"|"2023-11-07"|"11"|"BUS"|"Rio de janeiro"|7
"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Santa catarina"|443
"BRAZIL"|"2023-11-14"|"11"|"LIGHT COMMERCIAL"|"Belem"|173
"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Parana"|424
"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|186
"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Porto alegre"|298
"BRAZIL"|"2023-11-27"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|109
"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Parana"|148
"BRAZIL"|"2023-11-13"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|124
"BRAZIL"|"2023-11-07"|"11"|"LIGHT COMMERCIAL"|"Sao paulo"|171
"BRAZIL"|"2023-11-22"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|94
"BRAZIL"|"2023-11-10"|"11"|"TRUCKS"|"Centro oeste"|59
"BRAZIL"|"2023-11-10"|"11"|"TRUCKS"|"Parana"|83
"BRAZIL"|"2023-11-24"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|302
"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|113
"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Brasilia"|177
"BRAZIL"|"2023-11-11"|"11"|"PASSENGER"|"Recife"|9
"BRAZIL"|"2023-11-08"|"11"|"TRUCKS"|"Interior paulista a"|34
"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Parana"|136
"BRAZIL"|"2023-11-07"|"11"|"TRUCKS"|"Belem"|25
"BRAZIL"|"2023-11-07"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|121
"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Brasilia"|236
"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Belo horizonte"|872
"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Interior paulista b"|344
"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Sao paulo"|23
"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Espirito santo"|259
"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Fortaleza"|189
"BRAZIL"|"2023-11-10"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|137
"BRAZIL"|"2023-11-03"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|118
"BRAZIL"|"2023-11-03"|"11"|"PASSENGER"|"Centro oeste"|122
"BRAZIL"|"2023-11-18"|"11"|"PASSENGER"|"Santa catarina"|4
"BRAZIL"|"2023-11-16"|"11"|"LIGHT COMMERCIAL"|"Belem"|158
"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Santa catarina"|293
"BRAZIL"|"2023-11-30"|"11"|"TRUCKS"|"Interior paulista b"|23
"BRAZIL"|"2023-11-15"|"11"|"PASSENGER"|"Interior paulista b"|19
"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|240
"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|41
"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Belo horizonte"|1662
"BRAZIL"|"2023-11-24"|"11"|"TRUCKS"|"Rio de janeiro"|23
"BRAZIL"|"2023-11-16"|"11"|"TRUCKS"|"Belem"|30
"BRAZIL"|"2023-11-03"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|23
"BRAZIL"|"2023-11-09"|"11"|"TRUCKS"|"Interior paulista a"|64
"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Fortaleza"|261
"BRAZIL"|"2023-11-21"|"11"|"TRUCKS"|"Fortaleza"|11
"BRAZIL"|"2023-11-27"|"11"|"TRUCKS"|"Centro oeste"|39
"BRAZIL"|"2023-11-16"|"11"|"BUS"|"Porto alegre"|6
"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|66
"BRAZIL"|"2023-11-06"|"11"|"TRUCKS"|"Porto alegre"|44
"BRAZIL"|"2023-11-20"|"11"|"TRUCKS"|"Santa catarina"|26
"BRAZIL"|"2023-11-22"|"11"|"TRUCKS"|"Interior mg"|25
"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Parana"|131
"BRAZIL"|"2023-11-10"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|61
"BRAZIL"|"2023-11-30"|"11"|"TRUCKS"|"Interior paulista a"|44
"BRAZIL"|"2023-11-21"|"11"|"TRUCKS"|"Interior paulista a"|33
"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Interior paulista b"|23
"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|54
"BRAZIL"|"2023-11-13"|"11"|"TRUCKS"|"Fortaleza"|9
"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Espirito santo"|120
"BRAZIL"|"2023-11-25"|"11"|"PASSENGER"|"Brasilia"|26
"BRAZIL"|"2023-11-28"|"11"|"TRUCKS"|"Belem"|27
"BRAZIL"|"2023-11-23"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|65
"BRAZIL"|"2023-11-14"|"11"|"TRUCKS"|"Parana"|68
"BRAZIL"|"2023-11-22"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|66
"BRAZIL"|"2023-11-16"|"11"|"TRUCKS"|"Interior paulista a"|32
