"DSC_LIN0"|"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP"|"DSC_OPR_REG0"|"DSC_SLS_TYP_LV1"|"QTY_REGISTRATION"
"Onix"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Belo horizonte"|"Dealer"|"11"
"Onix"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"6"
"Onix"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Espirito santo"|"Dealer"|"6"
"S-10 crew cab"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Brasilia"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Espirito santo"|"Fleet/Government"|"4"
"Montana 1.2"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Porto alegre"|"Fleet/Government"|"2"
"Montana 1.2"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Espirito santo"|"Dealer"|"2"
"Montana 1.2"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Recife"|"Dealer"|"7"
"Tracker"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Brasilia"|"Dealer"|"11"
"Montana 1.2"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"6"
"Trailblazer"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Fortaleza"|"Fleet/Government"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Dealer"|"3"
"S-10 crew cab"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Recife"|"Dealer"|"4"
"Spin"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Porto alegre"|"Dealer"|"6"
"Onix"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Sao paulo"|"Dealer"|"25"
"Tracker"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Sao paulo"|"Dealer"|"26"
"Tracker"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Belem"|"Dealer"|"30"
"Montana 1.2"|"BRAZIL"|"2023-10-31"|"10"|"LIGHT COMMERCIAL"|"Porto alegre"|"Dealer"|"6"
"S-10 reg cab"|"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Fleet/Government"|"1"
"Spin"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Belem"|"Fleet/Government"|"1"
"Spin"|"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Recife"|"Fleet/Government"|"1"
"Onix"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"22"
"Tracker"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"4"
"Tracker"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"2"
"Onix"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Brasilia"|"Fleet/Government"|"22"
"S-10 single cab"|"BRAZIL"|"2023-10-31"|"10"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Fleet/Government"|"1"
"Spin"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"2"
"Onix"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Recife"|"Fleet/Government"|"6"
"S-10 crew cab"|"BRAZIL"|"2023-10-31"|"10"|"LIGHT COMMERCIAL"|"Sao paulo"|"Use Company"|"1"
"Montana 1.2"|"BRAZIL"|"2023-10-31"|"10"|"LIGHT COMMERCIAL"|"Fortaleza"|"Fleet/Government"|"6"
"Montana 1.2"|"BRAZIL"|"2023-12-08"|"12"|"LIGHT COMMERCIAL"|"Parana"|"Dealer"|"1"
"Montana 1.2"|"BRAZIL"|"2023-12-08"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|"Dealer"|"2"
"Onix"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Parana"|"Fleet/Government"|"28"
"Tracker"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"3"
"Onix"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Interior paulista b"|"Dealer"|"21"
"Onix"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Espirito santo"|"Dealer"|"2"
"Onix"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Belem"|"Dealer"|"3"
"Montana 1.2"|"BRAZIL"|"2023-12-08"|"12"|"LIGHT COMMERCIAL"|"Porto alegre"|"Dealer"|"2"
"Montana 1.2"|"BRAZIL"|"2023-12-08"|"12"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"4"
"Spin"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Belo horizonte"|"Dealer"|"2"
"Onix"|"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Porto alegre"|"Fleet/Government"|"5"
"Montana 1.2"|"BRAZIL"|"2023-12-08"|"12"|"LIGHT COMMERCIAL"|"Rio de janeiro"|"Dealer"|"1"
"Cruze"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Porto alegre"|"Dealer"|"2"
"Trailblazer"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Centro oeste"|"Dealer"|"2"
"S-10 crew cab"|"BRAZIL"|"2023-12-08"|"12"|"LIGHT COMMERCIAL"|"Parana"|"Fleet/Government"|"8"
"S-10 crew cab"|"BRAZIL"|"2023-12-08"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|"Fleet/Government"|"1"
"Spin"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Rio de janeiro"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Interior mg"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Fortaleza"|"Fleet/Government"|"2"
"Onix"|"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Fortaleza"|"Fleet/Government"|"2"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"91"
"Onix"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"29"
"Onix"|"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Centro oeste"|"Dealer"|"19"
"Onix"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Belem"|"Dealer"|"25"
"Onix"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Recife"|"Dealer"|"62"
"Onix"|"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Interior paulista b"|"Dealer"|"26"
"Onix"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Interior mg"|"Dealer"|"12"
